WBAN,YearMonthDay,Tmax,TmaxFlag,Tmin,TminFlag,Tavg,TavgFlag,Depart,DepartFlag,DewPoint,DewPointFlag,WetBulb,WetBulbFlag,Heat,HeatFlag,Cool,CoolFlag,Sunrise,SunriseFlag,Sunset,SunsetFlag,CodeSum,CodeSumFlag,Depth,DepthFlag,Water1,Water1Flag,SnowFall,SnowFallFlag,PrecipTotal,PrecipTotalFlag,StnPressure,StnPressureFlag,SeaLevel,SeaLevelFlag,ResultSpeed,ResultSpeedFlag,ResultDir,ResultDirFlag,AvgSpeed,AvgSpeedFlag,Max5Speed,Max5SpeedFlag,Max5Dir,Max5DirFlag,Max2Speed,Max2SpeedFlag,Max2Dir,Max2DirFlag
23234,20131217,59, ,46, ,53, , 4, ,41, ,47, ,12, , 0, ,0718, ,1653, ,HZ, ,0, ,M, ,0.0, ,0.00, ,30.09, ,30.11, , 1.4, ,11, ,2.6, ,8, ,150, ,7, ,150, 
23234,20131218,57, ,44, ,51, , 2, ,43, ,47, ,14, , 0, ,0719, ,1653, ,HZ, ,0, ,M, ,0.0, ,0.00, ,29.90, ,29.91, ,11.1, ,28, ,12.0, ,40, ,280, ,35, ,270, 
23234,20131219,59, ,47, ,53, , 4, ,36, ,45, ,12, , 0, ,0720, ,1653, , , ,0, ,M, ,0.0, ,0.00, ,29.80, ,29.82, , 9.9, ,30, ,11.9, ,43, ,280, ,36, ,280, 
23234,20131220,60, ,40, ,50, , 1, ,32, ,42, ,15, , 0, ,0720, ,1654, , , ,0, ,M, ,0.0, ,0.00, ,29.96, ,29.98, , 2.3, ,28, ,4.7, ,18, ,290, ,15, ,290, 
23234,20131221,60, ,47, ,54, , 5, ,45, ,49, ,11, , 0, ,0721, ,1654, , , ,0, ,M, ,0.0, ,0.00, ,30.01, ,30.03, , 6.1, ,28, ,6.8, ,21, ,270, ,17, ,280, 
23234,20131222,65, ,43, ,54, , 5, ,42, ,47, ,11, , 0, ,0721, ,1655, , , ,0, ,M, ,0.0, ,0.00, ,30.19, ,30.21, , 0.8, ,33, ,1.4, ,10, ,280, ,9, ,280, 
23234,20131223,60, ,44, ,52, , 3, ,40, ,47, ,13, , 0, ,0722, ,1655, , , ,0, ,M, ,0.0, ,0.00, ,30.32, ,30.34, , 0.6, ,03, ,1.2, ,9, ,030, ,8, ,010, 
23234,20131224,59, ,45, ,52, , 3, ,41, ,47, ,13, , 0, ,0722, ,1656, , , ,0, ,M, ,0.0, ,0.00, ,30.26, ,30.27, , 0.8, ,31, ,2.2, ,24, ,090, ,8, ,280, 
23234,20131225,63, ,42, ,53, , 4, ,40, ,47, ,12, , 0, ,0722, ,1656, , , ,0, ,M, ,0.0, ,0.00, ,30.22, ,30.24, , 0.4, ,22, ,1.2, ,8, ,330, ,6, ,180, 
23234,20131226,62, ,43, ,53, , 4, ,41, ,47, ,12, , 0, ,0723, ,1657, , , ,0, ,M, ,0.0, ,0.00, ,30.19, ,30.21, , 0.9, ,02, ,1.2, ,8, ,360, ,7, ,010, 
23234,20131227,57, ,43, ,50, , 1, ,41, ,46, ,15, , 0, ,0723, ,1658, , , ,0, ,M, ,0.0, ,0.00, ,30.16, ,30.18, , 0.7, ,06, ,2.4, ,9, ,360, ,8, ,360, 
23234,20131228,63, ,40, ,52, , 3, ,39, ,45, ,13, , 0, ,0724, ,1658, , , ,0, ,M, ,0.0, ,0.00, ,30.08, ,30.09, , 1.3, ,27, ,2.0, ,13, ,290, ,10, ,280, 
23234,20131229,68, ,42, ,55, , 6, ,29, ,44, ,10, , 0, ,0724, ,1659, , , ,0, ,M, ,0.0, ,0.00, ,30.11, ,30.13, , 2.5, ,12, ,2.9, ,26, ,190, ,13, ,130, 
23234,20131230,59, ,42, ,51, , 2, ,40, ,45, ,14, , 0, ,0724, ,1660, , , ,0, ,M, ,0.0, ,0.00, ,30.21, ,30.22, , 1.5, ,30, ,3.4, ,15, ,280, ,13, ,290, 
23234,20131231,59, ,41, ,50, , 1, ,41, ,45, ,15, , 0, ,0724, ,1700, ,FG+ FG BR HZ, ,0, ,M, ,0.0, ,0.00, ,30.19, ,30.21, , 2.2, ,29, ,3.4, ,15, ,280, ,13, ,290,
